ArticleNo,Relevant?,Strong dummy,Unsure_int,Sure,Study,PubYear,Title,Pblshd?,Publication series name (text),Estimate,SE,t-stats,z-stats,p-value,EstimPage,Estimate,SE,t-stats,z-stats,p-value,Effect on DV + page (text),Shock/change in IV + page (text),EstimPreference,Multiplicator to obtain estimates in points (number),,,lagged (t-1),lagged (t-x)?,Event window start,Event window end,Length of the CAR period,day average,months (0/1),Event Start,Event End,Event_symmetry,Event_start_end_adj,Event Length,0_0,-1_0,0_1,-1_1,-3_0,0_3,-3_3,-7_0,0_7,-7_7,-14_0,0_14,-14_14,-30_0,0_30,-30_30,Type of event,Whatever comes first,Initial press annoucement,Proxy mailing date,Shareholder meeting date,13D/13G filing,Decision,Focus List,LetterDay,ThresholdReach,Objective,All,General undervaluation,Performance + governance,Governance - general,Governance - seats,Governance - rescind,Governance - renumeration,Governance - voting,Governance - other,Capital Structure,Business Strategy,Sale,Other,Outcome,Outcome - success,Outcome - unuccessful,Outvome - NA,DV (text),DV page,Market model,market-adjusted returns,FF,BHAR,Rovnice,Equal-weighted,Value-weighted,IV (text),IV page,Type of activist (text),hedge fund activism,Calpers,Other pension funds/institutions,Coalition of institutions,By individuals,Coalition/group of individuals,All,Group,Type of activism (text),ActivismAll,Proposals,Negotiation,Proxy,Prop_Neg/Proxy,Prop+Neg+Proxy,Litigation,ActivismOther,IV more vars,datastart_y,dataend_y,datastart_mqh,dataend_mqh,Midyear,Length,Sample size,Daily,Monthly,Data source,Region (text),Number of countries (text),Number of firms/events,Subsample specification (text),US,Germany,Europe,Asia,Model and page (text),SE clustered/robust,SE adjustment (text),Control variables + page (text),RoA,Size,Dynamic,Estimation methodology (text),OLS,IV,Panel FE,Otherest,Impact,Cit,First year in GS,Region (text),Midyear,Concatenate,English-origin,French-origin,German-origin,Scandinavian-origin,antidirector rights,Regulatory disclosure threshold,Rule_of_Law,Cap_GDP,HHI,Sarbanes_Oxley
40,Odhad,0,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,8.58,,4.76,,,20,8.58,,4.76,,,p19: target firms significantly outperform their benchmark in terms of mean CARs by 11.79% during the (−80; +80) event window and by 9.38% during the (−45; +45) event window,,,0.01,8.58,1.8025210084033614,0,0,-15,15,31,,0,-15,15,1,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p29: public event date,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,1,0,0,0,0,1,0,NA,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,"p10: hostile approach, including media campaigns, threats of lawsuits, and open letters to senior management and board members",0,0,0,0,0,0,0,1,0,2000,2006,1,12,2003,,85,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",Aggresive - hostile ,0,1,0,0,p20: simple,1,"p12+13: All t-statistics for event windows starting in t = −14 are computed by standardizing abnormal returns using the volatility of abnormal returns during the prior interval (−60, −15) in order to control for event-induced variance (Bo¨hmer et al., 1991).",0,0,0,0,p20: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Odhad,0,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,5.37,,4.68,,,20,5.37,,4.68,,,p19: target firms significantly outperform their benchmark in terms of mean CARs by 11.79% during the (−80; +80) event window and by 9.38% during the (−45; +45) event window,,,0.01,5.37,1.1474358974358976,0,0,-5,5,11,,0,-5,5,1,5,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p29: public event date,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,1,0,0,0,0,1,0,NA,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,"p10: hostile approach, including media campaigns, threats of lawsuits, and open letters to senior management and board members",0,0,0,0,0,0,0,1,0,2000,2006,1,12,2003,,85,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",Aggresive - hostile ,0,1,0,0,p20: simple,1,"p12+13: All t-statistics for event windows starting in t = −14 are computed by standardizing abnormal returns using the volatility of abnormal returns during the prior interval (−60, −15) in order to control for event-induced variance (Bo¨hmer et al., 1991).",0,0,0,0,p20: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Odhad,0,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,4.2300000000000004,,4.47,,,20,4.2300000000000004,,4.47,,,p19: target firms significantly outperform their benchmark in terms of mean CARs by 11.79% during the (−80; +80) event window and by 9.38% during the (−45; +45) event window,,,0.01,4.2300000000000004,0.94630872483221495,0,0,-3,3,7,,0,-3,3,1,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p29: public event date,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,1,0,0,0,0,1,0,NA,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,"p10: hostile approach, including media campaigns, threats of lawsuits, and open letters to senior management and board members",0,0,0,0,0,0,0,1,0,2000,2006,1,12,2003,,85,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",Aggresive - hostile ,0,1,0,0,p20: simple,1,"p12+13: All t-statistics for event windows starting in t = −14 are computed by standardizing abnormal returns using the volatility of abnormal returns during the prior interval (−60, −15) in order to control for event-induced variance (Bo¨hmer et al., 1991).",0,0,0,0,p20: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Odhad,0,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,2.2999999999999998,,4.01,,,20,2.2999999999999998,,4.01,,,p19: target firms significantly outperform their benchmark in terms of mean CARs by 11.79% during the (−80; +80) event window and by 9.38% during the (−45; +45) event window,,,0.01,2.2999999999999998,0.57356608478802995,0,0,-1,1,3,,0,-1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,p29: public event date,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,1,0,0,0,0,1,0,NA,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,"p10: hostile approach, including media campaigns, threats of lawsuits, and open letters to senior management and board members",0,0,0,0,0,0,0,1,0,2000,2006,1,12,2003,,85,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",Aggresive - hostile ,0,1,0,0,p20: simple,1,"p12+13: All t-statistics for event windows starting in t = −14 are computed by standardizing abnormal returns using the volatility of abnormal returns during the prior interval (−60, −15) in order to control for event-induced variance (Bo¨hmer et al., 1991).",0,0,0,0,p20: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Odhad,0,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,3.83,,2.99,,,20,3.83,,2.99,,,p19: target firms significantly outperform their benchmark in terms of mean CARs by 11.79% during the (−80; +80) event window and by 9.38% during the (−45; +45) event window,,,0.01,3.83,1.2809364548494984,0,0,-15,-3,13,,0,-15,-3,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,p29: public event date + p9: e. g. Open letter or request for extraordinary meeting,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,1,0,0,0,0,1,0,NA,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,"p10: hostile approach, including media campaigns, threats of lawsuits, and open letters to senior management and board members",0,0,0,0,0,0,0,1,0,2000,2006,1,12,2003,,85,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",Aggresive - hostile ,0,1,0,0,p20: simple,1,"p12+13: All t-statistics for event windows starting in t = −14 are computed by standardizing abnormal returns using the volatility of abnormal returns during the prior interval (−60, −15) in order to control for event-induced variance (Bo¨hmer et al., 1991).",0,0,0,0,p20: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Odhad,0,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,1.69,,1.79,,,20,1.69,,1.79,,,p19: target firms significantly outperform their benchmark in terms of mean CARs by 11.79% during the (−80; +80) event window and by 9.38% during the (−45; +45) event window,,,0.01,1.69,0.94413407821229045,0,0,3,15,13,,0,3,15,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p29: public event date + p9: e. g. Open letter or request for extraordinary meeting,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,1,0,0,0,0,1,0,NA,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,"p10: hostile approach, including media campaigns, threats of lawsuits, and open letters to senior management and board members",0,0,0,0,0,0,0,1,0,2000,2006,1,12,2003,,85,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",Aggresive - hostile ,0,1,0,0,p20: simple,1,"p12+13: All t-statistics for event windows starting in t = −14 are computed by standardizing abnormal returns using the volatility of abnormal returns during the prior interval (−60, −15) in order to control for event-induced variance (Bo¨hmer et al., 1991).",0,0,0,0,p20: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Odhad,0,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,2.0099999999999998,,1.32,,,21,2.0099999999999998,,1.32,,,p19: target firms significantly outperform their benchmark in terms of mean CARs by 11.79% during the (−80; +80) event window and by 9.38% during the (−45; +45) event window,,,0.01,2.0099999999999998,1.5227272727272725,0,0,-15,15,31,,0,-15,15,1,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p29: public event date + p9: e. g. Open letter or request for extraordinary meeting,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,1,0,0,0,0,1,0,NA,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,p10: other hedge funds do not act in public and prefer to work behind the scenes,0,0,1,0,0,0,0,0,0,2000,2006,1,12,2003,,146,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",Non-aggressive sample,0,1,0,0,p21: simple,1,"p12+13: All t-statistics for event windows starting in t = −14 are computed by standardizing abnormal returns using the volatility of abnormal returns during the prior interval (−60, −15) in order to control for event-induced variance (Bo¨hmer et al., 1991).",0,0,0,0,p21: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Odhad,0,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,1.18,,1.63,,,21,1.18,,1.63,,,p19: target firms significantly outperform their benchmark in terms of mean CARs by 11.79% during the (−80; +80) event window and by 9.38% during the (−45; +45) event window,,,0.01,1.18,0.7239263803680982,0,0,-5,5,11,,0,-5,5,1,5,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p29: public event date + p9: e. g. Open letter or request for extraordinary meeting,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,1,0,0,0,0,1,0,NA,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,p10: other hedge funds do not act in public and prefer to work behind the scenes,0,0,1,0,0,0,0,0,0,2000,2006,1,12,2003,,146,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",Non-aggressive sample,0,1,0,0,p21: simple,1,"p12+13: All t-statistics for event windows starting in t = −14 are computed by standardizing abnormal returns using the volatility of abnormal returns during the prior interval (−60, −15) in order to control for event-induced variance (Bo¨hmer et al., 1991).",0,0,0,0,p21: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Odhad,0,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,0.37,,1.24,,,21,0.37,,1.24,,,p19: target firms significantly outperform their benchmark in terms of mean CARs by 11.79% during the (−80; +80) event window and by 9.38% during the (−45; +45) event window,,,0.01,0.37,0.29838709677419356,0,0,-3,3,7,,0,-3,3,1,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p29: public event date + p9: e. g. Open letter or request for extraordinary meeting,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,1,0,0,0,0,1,0,NA,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,p10: other hedge funds do not act in public and prefer to work behind the scenes,0,0,1,0,0,0,0,0,0,2000,2006,1,12,2003,,146,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",Non-aggressive sample,0,1,0,0,p21: simple,1,"p12+13: All t-statistics for event windows starting in t = −14 are computed by standardizing abnormal returns using the volatility of abnormal returns during the prior interval (−60, −15) in order to control for event-induced variance (Bo¨hmer et al., 1991).",0,0,0,0,p21: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Odhad,0,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,0.3,,0.92,,,21,0.3,,0.92,,,p19: target firms significantly outperform their benchmark in terms of mean CARs by 11.79% during the (−80; +80) event window and by 9.38% during the (−45; +45) event window,,,0.01,0.3,0.32608695652173908,0,0,-1,1,3,,0,-1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,p29: public event date + p9: e. g. Open letter or request for extraordinary meeting,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,1,0,0,0,0,1,0,NA,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,p10: other hedge funds do not act in public and prefer to work behind the scenes,0,0,1,0,0,0,0,0,0,2000,2006,1,12,2003,,146,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",Non-aggressive sample,0,1,0,0,p21: simple,1,"p12+13: All t-statistics for event windows starting in t = −14 are computed by standardizing abnormal returns using the volatility of abnormal returns during the prior interval (−60, −15) in order to control for event-induced variance (Bo¨hmer et al., 1991).",0,0,0,0,p21: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Odhad,0,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,2.4700000000000002,,2.41,,,21,2.4700000000000002,,2.41,,,p19: target firms significantly outperform their benchmark in terms of mean CARs by 11.79% during the (−80; +80) event window and by 9.38% during the (−45; +45) event window,,,0.01,2.4700000000000002,1.0248962655601659,0,0,-15,-3,13,,0,-15,-3,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,p29: public event date + p9: e. g. Open letter or request for extraordinary meeting,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,1,0,0,0,0,1,0,NA,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,p10: other hedge funds do not act in public and prefer to work behind the scenes,0,0,1,0,0,0,0,0,0,2000,2006,1,12,2003,,146,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",Non-aggressive sample,0,1,0,0,p21: simple,1,"p12+13: All t-statistics for event windows starting in t = −14 are computed by standardizing abnormal returns using the volatility of abnormal returns during the prior interval (−60, −15) in order to control for event-induced variance (Bo¨hmer et al., 1991).",0,0,0,0,p21: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Odhad,0,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,-0.99,,-1.01,,,21,-0.99,,-1.01,,,p19: target firms significantly outperform their benchmark in terms of mean CARs by 11.79% during the (−80; +80) event window and by 9.38% during the (−45; +45) event window,,,0.01,-0.9900000000000001,0.98019801980198029,0,0,3,15,13,,0,3,15,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,p29: public event date + p9: e. g. Open letter or request for extraordinary meeting,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,1,0,0,0,0,1,0,NA,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,p10: other hedge funds do not act in public and prefer to work behind the scenes,0,0,1,0,0,0,0,0,0,2000,2006,1,12,2003,,146,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",Non-aggressive sample,0,1,0,0,p21: simple,1,"p12+13: All t-statistics for event windows starting in t = −14 are computed by standardizing abnormal returns using the volatility of abnormal returns during the prior interval (−60, −15) in order to control for event-induced variance (Bo¨hmer et al., 1991).",0,0,0,0,p21: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Rovnice,1,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,-3.2500000000000001E-2,,-1.97,,,32,-3.25,1.649746192893401,,,,"p35: Most important, we include a dummy
variable for aggressiveness, which is set equal to one if the hedge fund employs openly
hostile approaches or used similar tactics in previous transactions, and zero otherwise
(see Section 3.1 and Table 1). In line with Boyson and Mooradian (2011), this dummy
variable is positive and highly significant, indicating that short-term announcement
effects increase by almost 4% for these events.",,,1,-3.25,1.649746192893401,0,0,-3,3,7,,0,-3,3,1,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p29: public event date + p9: e. g. Open letter or request for extraordinary meeting,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,0,0,0,0,1,1,0,p32: Bank,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,p9: open letter or request for extraordinary meeting (e.g.),0,0,0,0,0,0,0,1,0,2000,2006,1,12,2003,,231,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",p32: Bank,0,1,0,0,p32: simple,1,p32: The t-statistics are based on robust standard errors.,"p32: Largest shareholder - Bank, Corporation, Government, Individual/family",0,0,0,p32: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
40,Rovnice,1,0,1,Bessler et al,2015,The Returns to Hedge Fund Activism in Germany,1,European Financial Management,1.1900000000000001E-2,,0.81,,,32,1.1900000000000002,1.4691358024691359,,,,"p35: Most important, we include a dummy
variable for aggressiveness, which is set equal to one if the hedge fund employs openly
hostile approaches or used similar tactics in previous transactions, and zero otherwise
(see Section 3.1 and Table 1). In line with Boyson and Mooradian (2011), this dummy
variable is positive and highly significant, indicating that short-term announcement
effects increase by almost 4% for these events.",,,1,1.1900000000000002,1.4691358024691359,0,0,-3,3,7,,0,-3,3,1,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,p29: public event date + p9: e. g. Open letter or request for extraordinary meeting,1,0,0,0,0,0,0,0,0,p1: performance and governance issues,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"p12: estimated from a market model reg ression. The estimation of the market model parameters is based on the 60 daily return observations between t = −140 and t = −81, ensuring that these parameters are not distorted by the pre-event price run-ups. The broad CDAX index is taken as a proxy for the market return. - equally-weighted",p12,0,0,0,0,1,1,0,p32: Corporation,NA,p1: Hedge Fund Activism,1,0,0,0,0,0,0,0,p9: open letter or request for extraordinary meeting (e.g.),0,0,0,0,0,0,0,1,0,2000,2006,1,12,2003,,231,1,0,"p9: the Lexis-Nexis-Database is screened for all firms listed in the CDAX, a comprehensive index that includes all German firms listed in the prime or general standard of the Frankfurt Stock Exchange; by hand; database of filings according to the disclosure rules in §21 WpHG supplied by the AFU (‘Agentur fu¨r Unternehmensdaten’).",Germany,1,"231 events, 81 target firms, 111 hedge funds",p32: Corporation,0,1,0,0,p32: simple,1,p32: The t-statistics are based on robust standard errors.,"p32: Largest shareholder - Bank, Corporation, Government, Individual/family",0,0,0,p32: OLS (probably),1,0,0,0,0.248,79,2015,Germany,2003,Germany2003,0,0,1,0,1,0.03,1.6637150000000001,43.227989556740233,4.4105079385997142E-2,0
